customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2409-GYBEI,Male,1,Yes,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.68,500.33,No
0453-SVIIO,Male,0,Yes,Yes,62,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),60.88,3534.06,No
4244-OYGYI,Female,0,Yes,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,1245.48,No
0828-IKAMM,Female,1,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,33.61,1418.32,No
4023-VTBVO,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),107.8,,Yes
1053-DWRWR,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.11,83.23,No
2859-OREKY,Male,0,No,No,66,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),76.93,4597.04,No
0402-KQMZQ,Female,0,Yes,No,46,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),77.69,3299.29,No
1519-LWEUQ,Male,0,Yes,No,18,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),65.08,1269.37,No
0822-MXXXD,Male,1,No,No,27,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),95.17,2445.05,No
4696-GZPZW,Female,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.58,2396.29,No
2938-ZYZBR,Female,0,No,Yes,0,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),66.9,,No
2400-AJBUC,Male,1,No,Yes,13,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.79,988.31,Yes
0197-OHDSH,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,82.52,1670.46,No
1851-OWXIO,Female,0,Yes,No,55,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,69.03,3548.24,No
2786-YGRID,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,88.21,907.22,Yes
4867-FIANV,Male,0,No,No,6,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,91.51,566.14,Yes
2050-BEFRF,Male,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,94.97,2188.61,No
3943-BTMAO,Female,0,Yes,No,21,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),73.29,1651.6,Yes
4441-APGJR,Male,1,No,Yes,46,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,90.25,3972.0,No
3646-VNMWF,Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.57,1089.1,No
3236-CZCBK,Female,0,Yes,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,32.53,1848.28,No
1193-FWKYE,Female,1,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),81.96,4541.06,No
4599-XLZYW,Female,0,Yes,Yes,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,43.57,197.54,No
3945-GJNHW,Male,1,No,No,6,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.42,710.53,Yes
0841-SZTJC,Male,0,Yes,Yes,22,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,72.04,1556.12,Yes
0287-BXNIK,Female,0,No,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.01,635.11,No
2402-SMCRO,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.62,261.48,No
0490-QISAL,Male,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.36,931.99,No
3427-KTCGM,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,82.13,1516.6,No
4956-VJLFO,Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,39.94,786.33,Yes
3521-FMDCV,Male,0,No,No,0,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),70.88,,Yes
0812-TIZIA,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.4,1782.32,Yes
2615-ZQUGJ,Female,0,No,No,2,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,69.91,136.09,Yes
0267-QLLES,Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,93.01,3986.34,No
1287-KMHFF,Male,0,No,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),34.35,986.46,No
0345-VWCDT,Female,1,No,No,50,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),73.1,3502.55,No
1523-NXCHL,Female,0,No,Yes,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),87.68,861.44,Yes
3294-XQNJA,Female,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,111.21,352.2,Yes
0781-BMJUO,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.73,,Yes
0282-LAMVH,Female,0,No,Yes,18,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),69.72,1160.37,No
3325-FCJSK,Male,0,No,No,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),103.29,3427.68,Yes
0964-OXNRP,Female,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.45,1048.03,No
0074-YAJLG,Female,0,No,No,38,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,79.91,3094.79,No
1116-UEGCE,Female,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.21,241.79,No
2651-MRKSH,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,91.29,1163.32,No
2206-YVHHK,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.3,6012.63,Yes
2612-ZBMTO,Female,0,Yes,No,27,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,64.62,1636.55,Yes
3169-ERYGY,Female,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.95,,Yes
3005-JVSOJ,Male,1,No,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.37,503.08,Yes
3663-UJMDB,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.84,355.9,Yes
0763-STQKO,Male,1,No,No,17,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,60.02,957.79,No
0294-PMSUU,Male,1,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.95,1506.36,Yes
0240-VTNSZ,Male,1,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),101.81,6554.57,No
4847-JXFTP,Male,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.54,231.45,Yes
1639-XQWSW,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,105.78,562.71,Yes
3215-OBNAS,Male,0,Yes,No,47,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,70.81,3180.65,No
0442-EXJQZ,Female,0,Yes,Yes,52,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,81.09,3864.24,No
3319-WBRAM,Female,1,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.06,110.83,No
5257-XUEYE,Female,0,No,Yes,69,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,79.7,5544.51,No
0957-KIVPL,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.97,34.71,Yes
4018-IZWJR,Male,0,No,No,68,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.09,3734.25,No
3613-MPHVY,Female,0,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.18,183.16,Yes
4638-SKXVU,Female,0,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.78,429.0,No
0816-NWTXC,Female,0,No,No,30,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.79,2737.0,No
4311-TYIFU,Female,1,No,No,17,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.03,1083.79,Yes
1693-WMUSD,Female,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.18,175.39,No
1232-JFLAT,Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,94.81,4411.34,No
1895-XMWBK,Female,0,No,No,61,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,72.83,4326.58,No
0769-DLZWH,Female,1,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),75.69,5119.03,No
1418-WUXUB,Male,0,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.57,2007.66,Yes
2392-ZLXCW,Male,0,Yes,No,15,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,65.9,854.37,Yes
1697-SIMSK,Female,0,No,No,67,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,92.14,5710.68,No
3032-VGMZI,Female,0,Yes,No,64,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,67.59,4258.35,No
3423-GHDNG,Male,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,83.17,2816.55,No
1616-MSAWN,Female,0,Yes,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.14,1879.61,No
1214-DRTWL,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.97,2847.38,Yes
3277-OUBML,Female,0,Yes,Yes,52,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,78.32,4007.54,No
1255-PEDWK,Female,0,No,No,33,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.89,2834.36,No
4843-UVDKM,Male,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,90.03,2672.03,No
3137-VXTBR,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),81.93,5691.7,No
3480-DGFRP,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.8,1699.37,Yes
1057-JNKJW,Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.31,58.06,No
3893-VGYCP,Female,0,No,No,17,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),67.03,1140.44,Yes
3095-QFTTM,Female,1,No,Yes,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.87,522.81,No
2547-FLXLA,Female,0,No,No,21,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,72.67,1472.89,No
0560-VOPRH,Female,1,No,No,23,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,102.55,2443.17,No
1367-DNTAG,Female,0,No,No,27,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),67.14,1819.16,Yes
3879-ZGKDJ,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.75,622.48,No
3465-CWBZM,Male,0,Yes,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.15,2205.5,No
5090-DWXUY,Female,0,No,Yes,41,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),78.21,3372.34,No
1782-URWGR,Female,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.39,2244.3,Yes
1152-SGZRZ,Female,0,No,No,66,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,89.31,5382.52,No
4823-PGAEW,Female,0,No,No,62,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),69.39,3950.44,No
4050-NRYWE,Male,1,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),38.37,1815.41,No
0495-JTYHB,Male,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.81,583.85,No
5016-KRVKD,Male,0,Yes,No,9,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.72,509.13,Yes
0008-MWBVW,Female,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.69,631.35,Yes
4906-LRTAY,Female,1,Yes,Yes,68,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,71.77,4504.36,No
0565-DUQJZ,Female,0,Yes,Yes,6,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),94.67,557.35,Yes
3106-SLRSA,Male,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.19,527.35,Yes
1038-NMACB,Female,1,No,No,56,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,87.2,4552.87,No
3125-JZIEU,Female,0,Yes,No,3,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.36,251.65,Yes
0534-LTJPJ,Male,1,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.93,1522.34,Yes
4471-YAYVD,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),114.2,823.15,Yes
3233-EEIUH,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,35.06,692.4,No
4405-FXYFF,Male,0,Yes,No,25,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,71.04,1752.61,Yes
3602-UCDSS,Female,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,92.68,3251.86,No
0498-QSGZI,Male,0,Yes,No,17,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),73.07,1205.88,Yes
3848-SQREG,Female,0,Yes,No,0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,86.67,,Yes
0387-HRYMR,Male,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,35.76,726.55,No
2897-SFWYU,Male,0,Yes,Yes,27,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,75.16,2059.93,Yes
4615-HUKDH,Female,1,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,95.55,1872.42,Yes
0947-KMOCL,Female,0,Yes,No,0,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.25,,No
4096-BNOUH,Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.5,1504.15,Yes
5138-IFUWQ,Male,0,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),82.95,,No
2754-RSTRC,Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),101.51,7156.65,No
1202-VGWXW,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),74.11,3603.93,No
1540-ELGCE,Female,0,Yes,No,27,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,57.62,1493.93,No
2418-NLDBD,Male,0,Yes,No,61,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,78.58,4378.27,No
4183-AZJCS,Female,1,Yes,No,9,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,56.45,511.45,No
5139-WMFRK,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.61,147.62,Yes
0651-PZNUX,Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.2,1690.5,Yes
3895-JOIOA,Female,0,No,Yes,37,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,87.3,3115.9,No
4238-OHLWF,Female,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),102.06,4172.17,No
2228-DQOUR,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.19,24.3,Yes
0514-WGNIF,Male,1,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.67,601.69,No
1052-GTBSM,Male,0,Yes,Yes,14,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.56,1243.76,Yes
4798-SXTHT,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.73,457.17,Yes
3390-DSGTO,Female,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,96.33,1708.54,No
1528-XZVKV,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,101.34,4178.18,No
0377-BCFQS,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,78.29,1581.75,Yes
4715-IORKB,Female,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.15,318.77,No
4350-STROL,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.66,378.19,Yes
1182-VTVHE,Male,0,No,Yes,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.0,1152.75,No
1884-OOTVP,Female,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.42,482.73,No
0594-KWRPI,Male,0,Yes,No,67,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,98.15,6161.55,No
0845-MVWIG,Male,1,Yes,Yes,38,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),75.72,2840.05,No
1750-HVHRS,Female,0,Yes,Yes,12,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,78.16,886.71,Yes
3464-QCCWC,Female,1,Yes,No,55,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,108.39,5458.5,No
1447-YPPCT,Female,1,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,87.19,794.57,Yes
1969-KOURL,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.78,14.27,Yes
3523-EWHDV,Male,0,Yes,No,10,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),84.99,979.37,Yes
0764-LYNCC,Female,0,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,87.68,5550.09,No
2294-GAQTD,Female,0,No,Yes,32,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),73.98,2176.68,No
5020-FOVQI,Female,1,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.29,39.25,No
5200-RFCQS,Female,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.49,818.73,Yes
2525-FQZPL,Female,0,No,No,71,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),57.17,3790.71,No
4692-FULAL,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),69.54,2485.79,Yes
3068-LRFGX,Female,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),93.26,3875.87,No
0728-HDWAG,Female,0,No,No,51,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),84.7,4011.0,No
5177-RPOGQ,Male,0,No,No,55,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,74.63,4123.46,Yes
2138-QTGAY,Male,0,Yes,No,72,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),72.86,5048.7,Yes
0535-JUFIK,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.23,796.8,No
